order_id;customers;city;state;order_date;total_units;revenue;product_name;category_name;store_name;sales_rep;brand_name
1;Johnathan Velazquez;Pleasanton;CA;2016-01-01;2;1199.98;Electra Townie Original 7D EQ - 2016;Cruisers Bicycles;Santa Cruz Bikes;Mireya Copeland;Electra
1;Johnathan Velazquez;Pleasanton;CA;2016-01-01;1;599.99;Electra Townie Original 7D EQ - Women's - 2016;Cruisers Bicycles;Santa Cruz Bikes;Mireya Copeland;Electra
1;Johnathan Velazquez;Pleasanton;CA;2016-01-01;2;3098.00;Surly Straggler - 2016;Cyclocross Bicycles;Santa Cruz Bikes;Mireya Copeland;Surly
1;Johnathan Velazquez;Pleasanton;CA;2016-01-01;1;2899.99;Trek Fuel EX 8 29 - 2016;Mountain Bikes;Santa Cruz Bikes;Mireya Copeland;Trek
1;Johnathan Velazquez;Pleasanton;CA;2016-01-01;2;3599.98;Trek Remedy 29 Carbon Frameset - 2016;Mountain Bikes;Santa Cruz Bikes;Mireya Copeland;Trek
2;Jaqueline Cummings;Huntington Station;NY;2016-01-01;2;1199.98;Electra Townie Original 7D EQ - 2016;Cruisers Bicycles;Baldwin Bikes;Marcelene Boyer;Electra
2;Jaqueline Cummings;Huntington Station;NY;2016-01-01;1;599.99;Electra Townie Original 7D EQ - Women's - 2016;Cruisers Bicycles;Baldwin Bikes;Marcelene Boyer;Electra
3;Joshua Robertson;Patchogue;NY;2016-01-02;1;599.99;Electra Townie Original 7D EQ - Women's - 2016;Cruisers Bicycles;Baldwin Bikes;Venita Daniel;Electra
3;Joshua Robertson;Patchogue;NY;2016-01-02;1;999.99;Surly Wednesday Frameset - 2016;Mountain Bikes;Baldwin Bikes;Venita Daniel;Surly
4;Nova Hess;Duarte;CA;2016-01-03;2;1499.98;Ritchey Timberwolf Frameset - 2016;Mountain Bikes;Santa Cruz Bikes;Genna Serrano;Ritchey
5;Arla Ellis;Utica;NY;2016-01-03;1;599.99;Electra Townie Original 7D EQ - 2016;Comfort Bicycles;Baldwin Bikes;Marcelene Boyer;Electra
5;Arla Ellis;Utica;NY;2016-01-03;1;429.00;Pure Cycles Vine 8-Speed - 2016;Cruisers Bicycles;Baldwin Bikes;Marcelene Boyer;Pure Cycles
5;Arla Ellis;Utica;NY;2016-01-03;2;3098.00;Surly Straggler - 2016;Cyclocross Bicycles;Baldwin Bikes;Marcelene Boyer;Surly
6;Sharyn Hopkins;Baldwinsville;NY;2016-01-04;2;1099.98;Electra Townie Original 21D - 2016;Cruisers Bicycles;Baldwin Bikes;Marcelene Boyer;Electra
6;Sharyn Hopkins;Baldwinsville;NY;2016-01-04;1;599.99;Electra Townie Original 7D EQ - Women's - 2016;Cruisers Bicycles;Baldwin Bikes;Marcelene Boyer;Electra
6;Sharyn Hopkins;Baldwinsville;NY;2016-01-04;1;449.00;Pure Cycles Western 3-Speed - Women's - 2015/2016;Cruisers Bicycles;Baldwin Bikes;Marcelene Boyer;Pure Cycles
6;Sharyn Hopkins;Baldwinsville;NY;2016-01-04;2;1999.98;Surly Wednesday Frameset - 2016;Mountain Bikes;Baldwin Bikes;Marcelene Boyer;Surly
6;Sharyn Hopkins;Baldwinsville;NY;2016-01-04;2;5999.98;Trek Conduit+ - 2016;Electric Bikes;Baldwin Bikes;Marcelene Boyer;Trek
7;Laureen Paul;Bellmore;NY;2016-01-04;1;529.99;Electra Moto 1 - 2016;Cruisers Bicycles;Baldwin Bikes;Marcelene Boyer;Electra
7;Laureen Paul;Bellmore;NY;2016-01-04;2;858.00;Pure Cycles Vine 8-Speed - 2016;Cruisers Bicycles;Baldwin Bikes;Marcelene Boyer;Pure Cycles
7;Laureen Paul;Bellmore;NY;2016-01-04;1;999.99;Surly Wednesday Frameset - 2016;Mountain Bikes;Baldwin Bikes;Marcelene Boyer;Surly
